escape of body    64,   at T =  3.3000006D+00.   a =  4.5805D+02   e =  1.0037D+00
escape of body    65,   at T =  3.3000006D+00.   a =  2.0063D+02   e =  1.0084D+00
escape of body    66,   at T =  3.3000006D+00.   a =  1.3684D+02   e =  1.0123D+00
escape of body    67,   at T =  3.3000006D+00.   a =  1.0919D+02   e =  1.0154D+00
escape of body    68,   at T =  3.3000006D+00.   a =  9.4675D+01   e =  1.0178D+00
escape of body    69,   at T =  3.3000006D+00.   a =  8.6640D+01   e =  1.0195D+00
escape of body    70,   at T =  3.3000006D+00.   a =  8.2390D+01   e =  1.0205D+00
escape of body    71,   at T =  3.3000006D+00.   a =  8.0861D+01   e =  1.0209D+00
escape of body    72,   at T =  3.3000006D+00.   a =  8.1574D+01   e =  1.0207D+00
escape of body    73,   at T =  3.3000006D+00.   a =  8.4478D+01   e =  1.0200D+00
escape of body    74,   at T =  3.3000006D+00.   a =  8.9863D+01   e =  1.0188D+00
escape of body    75,   at T =  3.3000006D+00.   a =  9.8468D+01   e =  1.0172D+00
escape of body    76,   at T =  3.3000006D+00.   a =  1.1169D+02   e =  1.0151D+00
escape of body    77,   at T =  3.3000006D+00.   a =  1.3286D+02   e =  1.0127D+00
escape of body    78,   at T =  3.3000006D+00.   a =  1.6933D+02   e =  1.0100D+00
escape of body    79,   at T =  3.3000006D+00.   a =  2.4330D+02   e =  1.0069D+00
escape of body    80,   at T =  3.3000006D+00.   a =  4.6012D+02   e =  1.0037D+00
escape of body    58,   at T =  3.4000006D+00.   a =  1.8023D+02   e =  1.0108D+00
escape of body    59,   at T =  3.4000006D+00.   a =  8.6107D+01   e =  1.0226D+00
escape of body    60,   at T =  3.4000006D+00.   a =  5.8825D+01   e =  1.0329D+00
escape of body    61,   at T =  3.4000006D+00.   a =  4.6018D+01   e =  1.0419D+00
escape of body    62,   at T =  3.4000006D+00.   a =  3.8752D+01   e =  1.0495D+00
escape of body    63,   at T =  3.4000006D+00.   a =  3.4124D+01   e =  1.0560D+00
escape of body    81,   at T =  3.4000006D+00.   a =  5.2450D+01   e =  1.0344D+00
escape of body    82,   at T =  3.4000006D+00.   a =  6.2177D+01   e =  1.0289D+00
escape of body    83,   at T =  3.4000006D+00.   a =  7.6811D+01   e =  1.0234D+00
escape of body    84,   at T =  3.4000006D+00.   a =  1.0157D+02   e =  1.0176D+00
escape of body    85,   at T =  3.4000006D+00.   a =  1.5155D+02   e =  1.0118D+00
escape of body    86,   at T =  3.4000006D+00.   a =  3.0402D+02   e =  1.0058D+00
escape of body    87,   at T =  3.4000006D+00.   a =  2.1209D+04   e =  9.9992D-01
escape of body    54,   at T =  3.5000006D+00.   a =  3.4516D+02   e =  1.0068D+00
escape of body    55,   at T =  3.5000006D+00.   a =  8.6015D+01   e =  1.0270D+00
escape of body    56,   at T =  3.5000006D+00.   a =  5.0925D+01   e =  1.0453D+00
escape of body    57,   at T =  3.5000006D+00.   a =  3.7173D+01   e =  1.0615D+00
escape of body    88,   at T =  3.5000006D+00.   a =  8.1508D+01   e =  1.0233D+00
escape of body    89,   at T =  3.5000006D+00.   a =  1.1795D+02   e =  1.0160D+00
escape of body    90,   at T =  3.5000006D+00.   a =  2.1186D+02   e =  1.0089D+00
escape of body    91,   at T =  3.5000006D+00.   a =  1.0549D+03   e =  1.0018D+00
escape of body    52,   at T =  3.6000006D+00.   a =  1.4117D+02   e =  1.0196D+00
escape of body    53,   at T =  3.6000006D+00.   a =  5.6954D+01   e =  1.0480D+00
escape of body    92,   at T =  3.6000006D+00.   a =  6.2756D+01   e =  1.0320D+00
escape of body    93,   at T =  3.6000006D+00.   a =  8.0935D+01   e =  1.0246D+00
escape of body    94,   at T =  3.6000006D+00.   a =  1.1271D+02   e =  1.0176D+00
escape of body    95,   at T =  3.6000006D+00.   a =  1.8384D+02   e =  1.0107D+00
escape of body    96,   at T =  3.6000006D+00.   a =  4.7958D+02   e =  1.0041D+00
escape of body    50,   at T =  3.7000006D+00.   a =  2.9757D+03   e =  1.0011D+00
escape of body    51,   at T =  3.7000006D+00.   a =  6.4420D+01   e =  1.0489D+00
escape of body    97,   at T =  3.7000006D+00.   a =  4.4176D+01   e =  1.0475D+00
escape of body    98,   at T =  3.7000006D+00.   a =  4.9986D+01   e =  1.0417D+00
escape of body    49,   at T =  3.8000007D+00.   a =  1.1384D+03   e =  1.0031D+00
escape of body    48,   at T =  4.0000007D+00.   a =  8.6471D+01   e =  1.0484D+00
escape of body    47,   at T =  4.1000007D+00.   a =  1.6399D+02   e =  1.0274D+00
escape of body    46,   at T =  4.3000007D+00.   a =  6.0432D+02   e =  1.0083D+00
escape of body    33,   at T =  5.2000009D+00.   a =  4.7287D+01   e =  1.0558D+00
escape of body    34,   at T =  5.2000009D+00.   a =  3.0860D+02   e =  1.0101D+00
escape of body    32,   at T =  5.4000009D+00.   a =  2.5830D+01   e =  1.0828D+00
escape of body    35,   at T =  5.4000009D+00.   a =  6.5459D+01   e =  1.0566D+00
escape of body    39,   at T =  5.5000010D+00.   a =  2.4782D+01   e =  1.1543D+00
escape of body    40,   at T =  5.5000010D+00.   a =  4.0185D+01   e =  1.1103D+00
escape of body    38,   at T =  5.6000010D+00.   a =  1.3965D+01   e =  1.2061D+00
escape of body    41,   at T =  5.6000010D+00.   a =  4.4444D+01   e =  1.1032D+00
escape of body    36,   at T =  5.7000010D+00.   a =  3.0803D+01   e =  1.1254D+00
escape of body    37,   at T =  5.7000010D+00.   a =  3.9489D+01   e =  1.0738D+00
escape of body     9,   at T =  6.0000010D+00.   a =  3.1355D+01   e =  1.1217D+00
escape of body    10,   at T =  6.0000010D+00.   a =  5.4170D+01   e =  1.0692D+00
escape of body     8,   at T =  6.1000011D+00.   a =  6.3456D+01   e =  1.0640D+00
escape of body    11,   at T =  6.2000011D+00.   a =  2.1471D+02   e =  1.0199D+00
escape of body     7,   at T =  6.5000011D+00.   a =  6.6978D+01   e =  1.0679D+00
escape of body    12,   at T =  6.9000012D+00.   a =  9.9263D+02   e =  1.0042D+00
escape of body    27,   at T =  7.1000012D+00.   a =  4.9337D+01   e =  1.0680D+00
escape of body    28,   at T =  7.4000013D+00.   a =  1.7973D+01   e =  1.1792D+00
escape of body    13,   at T =  8.2000014D+00.   a =  3.9301D+01   e =  1.0760D+00
escape of body    21,   at T =  8.2000014D+00.   a =  8.5364D+01   e =  1.0246D+00
escape of body    42,   at T =  8.5000015D+00.   a =  8.8614D+00   e =  1.2764D+00
escape of body    45,   at T =  8.5000015D+00.   a =  3.2997D+01   e =  1.0934D+00
escape of body     6,   at T =  8.6000015D+00.   a =  4.2043D+01   e =  1.0855D+00
escape of body    44,   at T =  8.6000015D+00.   a =  4.1665D+01   e =  1.0501D+00
escape of body    19,   at T =  8.7000015D+00.   a =  1.8819D+01   e =  1.0785D+00
escape of body    18,   at T =  9.0000016D+00.   a =  1.6622D+01   e =  1.0746D+00
escape of body    26,   at T =  9.5000016D+00.   a =  1.7231D+01   e =  1.1154D+00
escape of body    14,   at T =  9.7000017D+00.   a =  2.4918D+00   e =  1.0717D+00
escape of body    31,   at T =  1.0400002D+01.   a =  2.0225D+02   e =  1.0138D+00
escape of body    15,   at T =  1.1700002D+01.   a =  4.5232D+02   e =  1.0046D+00
escape of body    17,   at T =  1.1800002D+01.   a =  1.2750D+02   e =  1.0190D+00
escape of body    16,   at T =  1.2000002D+01.   a =  8.6211D+00   e =  1.1220D+00
escape of body    29,   at T =  1.2000002D+01.   a =  1.4294D+02   e =  1.0256D+00
escape of body     3,   at T =  1.2100002D+01.   a =  8.3404D+01   e =  1.0642D+00
escape of body    20,   at T =  1.2100002D+01.   a =  2.2388D+01   e =  1.0761D+00
escape of body     4,   at T =  1.3100002D+01.   a =  6.1839D+01   e =  1.0569D+00
escape of body    25,   at T =  1.4900003D+01.   a =  6.6563D+01   e =  1.0598D+00
escape of body    22,   at T =  2.0600004D+01.   a =  1.3855D+02   e =  1.0235D+00
escape of body    23,   at T =  2.4200004D+01.   a =  2.1429D+02   e =  1.0134D+00
escape of body    43,   at T =  2.7100005D+01.   a =  1.2920D+01   e =  1.1695D+00
escape of body    30,   at T =  3.0000005D+01.   a =  1.0143D+00   e =  2.3968D+00
escape of body   100,   at T =  3.0300005D+01.   a =  2.0922D+00   e =  1.9738D+00
escape of body   101,   at T =  3.1100005D+01.   a =  6.0308D-01   e =  5.9368D+00
escape of body    99,   at T =  3.3200006D+01.   a =  1.7966D+00   e =  7.7244D-01
escape of body    24,   at T =  3.9200007D+01.   a =  1.6176D+01   e =  1.1795D+00
escape of body     5,   at T =  4.2500007D+01.   a =  3.8219D+01   e =  1.0189D+00
escape of body   102,   at T =  4.5600008D+01.   a =  5.5363D-01   e =  4.8429D+00
