time,ID,a,e,I,M,w,Omega,MEGNO,Delta_a,Delta_e,MEGNO_class,Delta_e_class
35.3,3,1.276,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,4,1.2902,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,5,1.3043,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,6,1.3185,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,7,1.3327,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,8,1.3469,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,9,1.361,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,10,1.3752,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,11,1.3894,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,12,1.4035,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,13,1.4177,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,14,1.4319,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,15,1.4461,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,16,1.4602,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,17,1.4744,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,18,1.4886,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,19,1.5027,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,20,1.5169,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,21,1.5311,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,22,1.5453,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,23,1.5594,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,24,1.5736,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,25,1.5878,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,26,1.6019,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,27,1.6161,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,28,1.6303,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,29,1.6445,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,30,1.6586,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,31,1.6728,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,32,1.687,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,33,1.7012,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,34,1.7153,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,35,1.7295,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,36,1.7437,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,37,1.7578,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,38,1.772,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,39,1.7862,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,40,1.8004,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,41,1.8145,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,42,1.8287,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,43,1.8429,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,44,1.857,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,45,1.8712,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,46,1.8854,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,47,1.8996,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,48,1.9137,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,49,1.9279,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,50,1.9421,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,51,1.9562,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,52,1.9704,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,53,1.9846,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,54,1.9988,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,55,2.0129,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,56,2.0271,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,57,2.0413,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,58,2.0554,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,59,2.0696,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,60,2.0838,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,61,2.098,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,62,2.1121,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,63,2.1263,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,64,2.1405,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,65,2.1546,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,66,2.1688,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,67,2.183,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,68,2.1972,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,69,2.2113,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,70,2.2255,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,71,2.2397,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,72,2.2538,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,73,2.268,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,74,2.2822,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,75,2.2964,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,76,2.3105,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,77,2.3247,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,78,2.3389,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,79,2.3531,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,80,2.3672,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,81,2.3814,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,82,2.3956,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,83,2.4097,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,84,2.4239,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,85,2.4381,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,86,2.4523,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,87,2.4664,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,88,2.4806,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,89,2.4948,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,90,2.5089,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,91,2.5231,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,92,2.5373,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,93,2.5515,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,94,2.5656,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,95,2.5798,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,96,2.594,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,97,2.6081,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,98,2.6223,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,99,2.6365,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,100,2.6507,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,101,2.6648,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
35.3,102,2.679,0.0,0.0,112.5,350.0,0.0,10.0,100.0,-1.0,Caótica (Alta),Estable
