rank,frequency_cpyear,amplitude,period_years
1,0.00621118,8.33426e-05,161
2,0.124224,6.37534e-05,8.05
3,0.118012,4.65874e-05,8.47368
4,0.0248447,3.7633e-05,40.25
5,0.111801,3.72004e-05,8.94444
6,0.10559,3.50951e-05,9.47059
7,0.0931677,3.09489e-05,10.7333
8,0.130435,2.99844e-05,7.66667
9,0.347826,2.95969e-05,2.875
10,0.0496894,2.79695e-05,20.125
11,0.0993789,2.78815e-05,10.0625
12,0.0559006,2.76769e-05,17.8889
13,0.204969,2.71284e-05,4.87879
14,0.223602,2.62202e-05,4.47222
15,0.0124224,2.57942e-05,80.5
